 Óbitos por causas externas - Bahia;;;;;
Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
Período:2022;;;;;
Município-BA;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE;Suicídios Geral 0 2022;Suicidios PAF 0 2022;% Suicídios 2022
291590 Itanagra;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
291650 Itapicuru;18;Litoral Norte e Agreste Baiano;1;0;0,0%
291790 Jandaíra;18;Litoral Norte e Agreste Baiano;1;0;0,0%
292310 Olindina;18;Litoral Norte e Agreste Baiano;1;0;0,0%
292330 Ouriçangas;18;Litoral Norte e Agreste Baiano;1;0;0,0%
292410 Pedrão;18;Litoral Norte e Agreste Baiano;0;0;#DIV/0!
292700 Rio Real;18;Litoral Norte e Agreste Baiano;1;0;0,0%
292970 Sátiro Dias;18;Litoral Norte e Agreste Baiano;1;0;0,0%
TOTAL TI;18;Litoral Norte e Agreste Baiano;29;0;0,0%
290040 Água Fria;19;Portal do Sertão;1;0;0,0%
290110 Amélia Rodrigues;19;Portal do Sertão;0;0;#DIV/0!
290150 Anguera;19;Portal do Sertão;0;0;#DIV/0!
290170 Antônio Cardoso;19;Portal do Sertão;2;0;0,0%
290820 Conceição da Feira;19;Portal do Sertão;0;0;#DIV/0!
290850 Conceição do Jacuípe;19;Portal do Sertão;4;1;25,0%
290890 Coração de Maria;19;Portal do Sertão;0;0;#DIV/0!
291080 Feira de Santana;19;Portal do Sertão;29;0;0,0%
291380 Ipecaetá;19;Portal do Sertão;0;0;#DIV/0!
291450 Irará;19;Portal do Sertão;0;0;#DIV/0!
292750 Santa Bárbara;19;Portal do Sertão;0;0;#DIV/0!
292830 Santanópolis;19;Portal do Sertão;1;0;0,0%
292880 Santo Estêvão;19;Portal do Sertão;1;0;0,0%
292930 São Gonçalo dos Campos;19;Portal do Sertão;0;0;#DIV/0!
293110 Tanquinho;19;Portal do Sertão;0;0;#DIV/0!
293140 Teodoro Sampaio;19;Portal do Sertão;0;0;#DIV/0!
293170 Terra Nova;19;Portal do Sertão;0;0;#DIV/0!
TOTAL TI;19;Portal do Sertão;38;1;2,6%
290120 Anagé;20;Sudoeste Baiano;1;0;0,0%
290200 Aracatu;20;Sudoeste Baiano;0;0;#DIV/0!
290290 Barra do Choça;20;Sudoeste Baiano;3;0;0,0%
290350 Belo Campo;20;Sudoeste Baiano;1;0;0,0%
290395 Bom Jesus da Serra;20;Sudoeste Baiano;1;1;100,0%
290515 Caetanos;20;Sudoeste Baiano;0;0;#DIV/0!
290670 Cândido Sales;20;Sudoeste Baiano;0;0;#DIV/0!
290689 Caraíbas;20;Sudoeste Baiano;0;0;#DIV/0!
290870 Condeúba;20;Sudoeste Baiano;1;0;0,0%
