; Óbitos por causas externas - Bahia;;;;;
;Óbitos por Ocorrência por Município-BA e Grande Grupo CID10;;;;;
;Grande Grupo CID10: X60-X84 Lesões autoprovocadas voluntariamente;;;;;
;Categoria CID10: X72   Lesao autoprov intenc disp arma fogo de mao, X73   Les autoprov int disp arm fog maior calibre, X74   Lesao autopr intenc disp outr arma fogo e NE;;;;;
;Período:2022;;;;;
;Município-BA;Suicídios PAF_2022;Suicídios PAF_Total_2022;%;CÓDITO DO TI;NOME DO TERRITÓRIO DE IDENTIDADE
291880;Laje;0;1;0,0%;9;Vale do Jiquiriçá
291890;Lajedão;0;0;#DIV/0!;7;Extremo Sul
291900;Lajedinho;0;1;0,0%;14;Piemonte do Paraguaçu
291905;Lajedo do Tabocal;1;1;100,0%;9;Vale do Jiquiriçá
291910;Lamarão;0;0;#DIV/0!;4;Sisal
291915;Lapão;0;2;0,0%;1;Irecê
291920;Lauro de Freitas;1;8;12,5%;26;Metropolitano de Salvador
291930;Lençóis;0;1;0,0%;3;Chapada Diamantina
291940;Licínio de Almeida;0;2;0,0%;20;Sudoeste Baiano
291950;Livramento de Nossa Senhora;1;3;33,3%;13;Sertão Produtivo
291955;Luís Eduardo Magalhães;0;8;0,0%;11;Bacia do Rio Grande
291960;Macajuba;0;0;#DIV/0!;14;Piemonte do Paraguaçu
291970;Macarani;0;2;0,0%;8;Médio Sudoeste da Bahia
291980;Macaúbas;0;4;0,0%;12;Bacia do Paramirim
291990;Macururé;0;0;#DIV/0!;24;Itaparica
291992;Madre de Deus;0;0;#DIV/0!;26;Metropolitano de Salvador
291995;Maetinga;0;2;0,0%;20;Sudoeste Baiano
292000;Maiquinique;0;0;#DIV/0!;8;Médio Sudoeste da Bahia
292010;Mairi;0;1;0,0%;15;Bacia do Jacuípe
292020;Malhada;0;1;0,0%;2;Velho Chico
292030;Malhada de Pedras;0;2;0,0%;13;Sertão Produtivo
292040;Manoel Vitorino;0;0;#DIV/0!;22;Médio Rio de Contas
292045;Mansidão;0;0;#DIV/0!;11;Bacia do Rio Grande
292050;Maracás;1;3;33,3%;9;Vale do Jiquiriçá
292060;Maragogipe;0;2;0,0%;21;Recôncavo
292070;Maraú;1;2;50,0%;5;Litoral Sul
292080;Marcionílio Souza;0;0;#DIV/0!;3;Chapada Diamantina
292090;Mascote;0;0;#DIV/0!;5;Litoral Sul
292100;Mata de São João;0;2;0,0%;26;Metropolitano de Salvador
292105;Matina;0;1;0,0%;2;Velho Chico
292110;Medeiros Neto;0;0;#DIV/0!;7;Extremo Sul
292120;Miguel Calmon;1;2;50,0%;16;Piemonte da Diamantina
292130;Milagres;0;0;#DIV/0!;9;Vale do Jiquiriçá
292140;Mirangaba;0;0;#DIV/0!;16;Piemonte da Diamantina
292145;Mirante;0;1;0,0%;20;Sudoeste Baiano
292150;Monte Santo;0;2;0,0%;4;Sisal
292160;Morpará;0;1;0,0%;2;Velho Chico
292170;Morro do Chapéu;0;6;0,0%;3;Chapada Diamantina
292180;Mortugaba;0;0;#DIV/0!;20;Sudoeste Baiano
292190;Mucugê;0;1;0,0%;3;Chapada Diamantina
292200;Mucuri;0;2;0,0%;7;Extremo Sul
292205;Mulungu do Morro;0;0;#DIV/0!;1;Irecê
292210;Mundo Novo;1;5;20,0%;14;Piemonte do Paraguaçu
292220;Muniz Ferreira;0;0;#DIV/0!;21;Recôncavo
292225;Muquém de São Francisco;0;0;#DIV/0!;2;Velho Chico
292230;Muritiba;0;3;0,0%;21;Recôncavo
292240;Mutuípe;0;0;#DIV/0!;9;Vale do Jiquiriçá
292250;Nazaré;0;3;0,0%;21;Recôncavo
292260;Nilo Peçanha;0;1;0,0%;6;Baixo Sul
292265;Nordestina;0;0;#DIV/0!;4;Sisal
292270;Nova Canaã;0;1;0,0%;8;Médio Sudoeste da Bahia
292273;Nova Fátima;0;2;0,0%;15;Bacia do Jacuípe
292275;Nova Ibiá;0;0;#DIV/0!;22;Médio Rio de Contas
292280;Nova Itarana;0;0;#DIV/0!;9;Vale do Jiquiriçá
292285;Nova Redenção;0;0;#DIV/0!;3;Chapada Diamantina
292290;Nova Soure;0;4;0,0%;17;Semiárido Nordeste II
292300;Nova Viçosa;0;1;0,0%;7;Extremo Sul
292303;Novo Horizonte;0;2;0,0%;3;Chapada Diamantina
292305;Novo Triunfo;0;0;#DIV/0!;17;Semiárido Nordeste II
292310;Olindina;0;1;0,0%;18;Litoral Norte e Agreste Baiano
292320;Oliveira dos Brejinhos;1;5;20,0%;2;Velho Chico
292330;Ouriçangas;0;1;0,0%;18;Litoral Norte e Agreste Baiano
292335;Ourolândia;2;2;100,0%;16;Piemonte da Diamantina
292340;Palmas de Monte Alto;0;0;#DIV/0!;13;Sertão Produtivo
292350;Palmeiras;0;0;#DIV/0!;3;Chapada Diamantina
292360;Paramirim;0;3;0,0%;12;Bacia do Paramirim
292370;Paratinga;1;1;100,0%;2;Velho Chico
292380;Paripiranga;0;2;0,0%;17;Semiárido Nordeste II
292390;Pau Brasil;0;1;0,0%;5;Litoral Sul
292400;Paulo Afonso;0;4;0,0%;24;Itaparica
292405;Pé de Serra;0;0;#DIV/0!;15;Bacia do Jacuípe
292410;Pedrão;0;0;#DIV/0!;18;Litoral Norte e Agreste Baiano
292420;Pedro Alexandre;0;1;0,0%;17;Semiárido Nordeste II
292430;Piatã;0;3;0,0%;3;Chapada Diamantina
292440;Pilão Arcado;1;2;50,0%;10;Sertão do São Francisco
292450;Pindaí;0;0;#DIV/0!;13;Sertão Produtivo
292460;Pindobaçu;0;0;#DIV/0!;25;Piemonte Norte do Itapicuru
292465;Pintadas;0;0;#DIV/0!;15;Bacia do Jacuípe
292467;Piraí do Norte;0;0;#DIV/0!;6;Baixo Sul
292470;Piripá;0;0;#DIV/0!;20;Sudoeste Baiano
292480;Piritiba;0;0;#DIV/0!;14;Piemonte do Paraguaçu
292490;Planaltino;0;0;#DIV/0!;9;Vale do Jiquiriçá
292500;Planalto;0;0;#DIV/0!;20;Sudoeste Baiano
292510;Poções;0;0;#DIV/0!;20;Sudoeste Baiano
292520;Pojuca;0;0;#DIV/0!;26;Metropolitano de Salvador
292525;Ponto Novo;0;0;#DIV/0!;25;Piemonte Norte do Itapicuru
292530;Porto Seguro;1;16;6,3%;27;Costa do Descobrimento
292540;Potiraguá;0;1;0,0%;8;Médio Sudoeste da Bahia
292550;Prado;0;3;0,0%;7;Extremo Sul
292560;Presidente Dutra;0;2;0,0%;1;Irecê
292570;Presidente Jânio Quadros;0;0;#DIV/0!;20;Sudoeste Baiano
292575;Presidente Tancredo Neves;0;2;0,0%;6;Baixo Sul
292580;Queimadas;0;3;0,0%;4;Sisal
292590;Quijingue;0;1;0,0%;4;Sisal
292593;Quixabeira;0;0;#DIV/0!;15;Bacia do Jacuípe
292595;Rafael Jambeiro;0;0;#DIV/0!;14;Piemonte do Paraguaçu
292600;Remanso;0;3;0,0%;10;Sertão do São Francisco
292610;Retirolândia;0;3;0,0%;4;Sisal
292620;Riachão das Neves;0;7;0,0%;11;Bacia do Rio Grande
292630;Riachão do Jacuípe;0;0;#DIV/0!;15;Bacia do Jacuípe
292640;Riacho de Santana;0;3;0,0%;2;Velho Chico
292650;Ribeira do Amparo;0;1;0,0%;17;Semiárido Nordeste II
292660;Ribeira do Pombal;0;5;0,0%;17;Semiárido Nordeste II
292665;Ribeirão do Largo;0;0;#DIV/0!;20;Sudoeste Baiano
292670;Rio de Contas;0;0;#DIV/0!;3;Chapada Diamantina
292680;Rio do Antônio;0;0;#DIV/0!;13;Sertão Produtivo
292690;Rio do Pires;0;2;0,0%;12;Bacia do Paramirim
292700;Rio Real;0;1;0,0%;18;Litoral Norte e Agreste Baiano
292710;Rodelas;0;1;0,0%;24;Itaparica
292720;Ruy Barbosa;0;2;0,0%;14;Piemonte do Paraguaçu
292730;Salinas da Margarida;0;0;#DIV/0!;21;Recôncavo
292740;Salvador;7;112;6,3%;26;Metropolitano de Salvador
292750;Santa Bárbara;0;0;#DIV/0!;19;Portal do Sertão
292760;Santa Brígida;0;1;0,0%;17;Semiárido Nordeste II
292770;Santa Cruz Cabrália;0;1;0,0%;27;Costa do Descobrimento
292780;Santa Cruz da Vitória;0;0;#DIV/0!;8;Médio Sudoeste da Bahia
292790;Santa Inês;0;0;#DIV/0!;9;Vale do Jiquiriçá
292805;Santa Luzia;0;0;#DIV/0!;5;Litoral Sul
292810;Santa Maria da Vitória;0;0;#DIV/0!;23;Bacia do Rio Corrente
292840;Santa Rita de Cássia;1;2;50,0%;11;Bacia do Rio Grande
292850;Santa Teresinha;0;1;0,0%;14;Piemonte do Paraguaçu
292800;Santaluz;0;5;0,0%;4;Sisal
292820;Santana;1;3;33,3%;23;Bacia do Rio Corrente
292830;Santanópolis;0;1;0,0%;19;Portal do Sertão
292860;Santo Amaro;0;0;#DIV/0!;21;Recôncavo
292870;Santo Antônio de Jesus;0;9;0,0%;21;Recôncavo
292880;Santo Estêvão;0;1;0,0%;19;Portal do Sertão
292890;São Desidério;0;0;#DIV/0!;11;Bacia do Rio Grande
292895;São Domingos;0;0;#DIV/0!;4;Sisal
292910;São Felipe;1;3;33,3%;21;Recôncavo
